id,title,text,label,news_url,image
KUstPPGA,IMD predicts longer heat waves and high temperatures in India this summer,"Heatwaves have been predicted in many areas of central India, adjoining areas of northern plains, and south India. IMD has predicted above-maximum temperatures in the country from April to June. |Date:India | April 01, 2024 17:30 IST",0,https://www.indiatvnews.com/news/india/weather-update-extreme-summers-april-kiren-rijiju-imd-predictions-heatwave-high-temperatures-latest-updates-2024-04-01-924160,https://resize.indiatvnews.com/en/resize/newbucket/210_-/2024/04/summer-1711972575.jpg
Ru184WSC,"Delhi-NCR wakes up to drizzle, IMD issues orange alert | Check weather forecast","The weatherman had also predicted light to medium rainfall in Delhi-NCR, Punjab, Haryana and parts of Rajasthan mainly for March 1 and 2. In addition, thunderstorms and gusty winds along with hailstorms have also been predicted in isolated places for March 2. |Date:March 02, 2024 12:41 IST",0,https://www.indiatvnews.com/delhi/delhi-ncr-weather-updates-drizzle-rainfall-thunderstorm-imd-predictions-orange-alert-north-india-snowfall-latest-2024-03-02-919514,https://resize.indiatvnews.com/en/resize/newbucket/210_-/2024/03/rainfall-1709350893.jpg
Y3rwD3vA,Delhi Weather: Fog envelopes city as temperature drops to 7째C,"The maximum temperature is expected to settle around 20 degrees Celsius, it said, adding that the humidity recorded at 95 percent at 8.30 am. |Date:February 06, 2024 10:38 IST",0,https://www.indiatvnews.com/delhi/delhi-weather-updates-fog-minimum-temperature-imd-predictions-aqi-winter-season-latest-updates-2024-02-06-915456,https://resize.indiatvnews.com/en/resize/newbucket/210_-/2024/02/fog-1707196035.jpg
VYmIxA5r,Above-normal maximum temperatures likely in February over parts of India: IMD amid rain in Delhi-NCR,"The average maximum temperature in Delhi this month stood at 17.7 degrees Celsius, the lowest in 13 years, according to an official data till Tuesday. The average minimum temperature in the national capital during the same period was pegged at 6.2 degrees Celsius, the second lowest in 13 years. |Date:India | January 31, 2024 18:50 IST",0,https://www.indiatvnews.com/news/india/rainfall-over-northwest-during-january-was-second-lowest-since-1901-says-imd-amid-light-rain-in-delhi-ncr-2024-01-31-914631,https://resize.indiatvnews.com/en/resize/newbucket/210_-/2024/01/rains-1706706780.jpg
IcvUr3fC,Ram Mandir Pran Pratishtha: Check Ayodhya's weather forecast for today,"Ram Mandir Pran Pratishtha: The weather in Ayodhya is anticipated to experience ""cold day"" conditions on Monday, with the maximum temperature likely to range from 15 to 17 degrees Celsius. |Date:January 22, 2024 10:32 IST",0,https://www.indiatvnews.com/uttar-pradesh/ram-mandir-pran-pratishtha-ayodhya-weather-forecast-cold-day-conditions-predicted-latest-updates-2024-01-22-913013,https://resize.indiatvnews.com/en/resize/newbucket/210_-/2024/01/ayodhya-1705897408.jpg
XOQu2yvO,Flight delays: Jyotiraditya Scindia announces six-point action plan to combat disruptions,"Union Civil Aviation Minister Jyotiraditya Scindia issued additional guidelines to airlines amid a delay in flights. |Date:India | January 16, 2024 17:33 IST",0,https://www.indiatvnews.com/news/india/airport-new-rules-amid-flight-delays-war-rooms-dgca-sops-jyotiraditya-scindia-latest-updates-2024-01-16-912112,https://resize.indiatvnews.com/en/resize/newbucket/210_-/2024/01/airport-1705403228.jpg
qqO38V8F,Delhi shivers as mercury hits season's lowest at 3.5째C; air quality plunges to 'severe',"Delhi faces its coldest spell of the winter with a minimum temperature of 3.5 degrees Celsius, marking the season's lowest. The Central Pollution Control Board records a 'severe' Air Quality Index (AQI) at 447, accompanied by dense fog, the longest this season. |Date:January 14, 2024 22:02 IST",0,https://www.indiatvnews.com/delhi/delhi-weather-update-national-capital-shivers-mercury-hits-season-lowest-air-quality-severe-aqi-imd-very-dense-fog-cold-wave-2024-01-14-911821,https://resize.indiatvnews.com/en/resize/newbucket/210_-/2024/01/mixcollage-14-jan-2024-09-49-pm-763-1705249160.jpg
HsrfQoaB,"Tamil Nadu: Incessant rains damage harvest-ready crops, AIADMK chief demands compensation for farmer","The leader of the opposition and former chief minister said the government should declare a minimum relief of Rs 25,000 per acre and also ensure appropriate compensation for farmers under crop insurance. |Date:January 08, 2024 23:50 IST",0,https://www.indiatvnews.com/tamil-nadu/chennai-tamil-nadu-weather-heavy-rainfall-crops-damaged-schools-closed-overnight-showers-latest-updates-2024-01-08-910864,https://resize.indiatvnews.com/en/resize/newbucket/210_-/2024/01/crops-1704737958.jpg
NzPsAxQi,Thick fog blankets Delhi-NCR as cold weather conditions prevail in national capital region,"About 30 flights, including international ones, were delayed at the Delhi airport due to the fog and low visibility, said the airport authorities on Tuesday. The arrival of 14 trains was also delayed due to foggy conditions, officials said. |Date:December 27, 2023 9:28 IST",0,https://www.indiatvnews.com/delhi/fog-blankets-delhi-ncr-as-cold-weather-conditions-prevail-in-national-capital-region-latest-update-2023-12-27-909085,https://resize.indiatvnews.com/en/resize/newbucket/210_-/2023/12/fog-1703645544.jpg
KM94TgyR,"Dense fog envelopes Delhi-NCR, reduces visibility, temperature drops","A blanket of fog covered the city in the early hours reducing visibility. |Date:December 24, 2023 9:17 IST",0,https://www.indiatvnews.com/delhi/delhi-winter-fog-visibility-aqi-air-quality-noida-gurugram-ncr-imd-cpcb-latest-weather-updates-2023-12-24-908708,https://resize.indiatvnews.com/en/resize/newbucket/210_-/2023/12/dense-fog-1703389600.jpg
NTr59TYD,"Delhi chokes up as AQI stands at 314, minimum temperature settles at 8.3째C","An AQI between zero and 50 is considered 'good', 51 and 100 'satisfactory', 101 and 200 'moderate', 201 and 300 'poor' , 301 and 400 'very poor', 401 and 450 'severe' and above 450 'severe-plus'. |Date:December 10, 2023 11:37 IST",0,https://www.indiatvnews.com/delhi/delhi-weather-updates-aqi-maximum-minimum-temperature-smog-stubble-burning-ncr-gurugram-noida-others-winter-latest-2023-12-10-906623,https://resize.indiatvnews.com/en/resize/newbucket/210_-/2023/12/smog-1702188415.jpg
EFJixtq5,"Rain spurt brings down temperature in Delhi-NCR, flights diverted amid bad weather","Meanwhile, the weatherman has also predicted an increase in fog in Delhi-NCR, Uttar Pradesh, Haryana and Punjab from November 28. |Date:November 27, 2023 21:02 IST",0,https://www.indiatvnews.com/delhi/delhi-weather-update-light-rainfall-imd-predictions-ncr-video-smog-clears-temperature-drop-latest-2023-11-27-904657,https://resize.indiatvnews.com/en/resize/newbucket/210_-/2023/11/rian-1701095060.jpg
mtLaOhtM,"Rajasthan: Jaisalmer, Barmer receive light rain as eastern regions remain under dry spell","There is a possibility of moderate to heavy rain at some places in Udaipur and Jodhpur division, and some places could see hailstorm and strong winds of 30-40 kmph, the official said. |Date:November 26, 2023 20:40 IST",0,https://www.indiatvnews.com/rajasthan/weather-updates-jaisalmer-barmer-receive-light-rain-as-eastern-regions-remain-under-dry-spell-latest-updates-2023-11-26-904521,https://resize.indiatvnews.com/en/resize/newbucket/210_-/2023/11/rain-1701011425.jpg
dbL95LQY,"Delhi air quality remains in 'very poor' category for second consecutive day, AQI at 322","Noida witnessed air quality in 'very poor' category as well with AQI soaring to 322. According to the AQI scale, the air quality check between 0 and 50 is 'good', 51 and 100 'satisfactory', 101 and 200 'moderate', 201 and 300 'poor', 301 and 400 'very poor', and 401 and 450 'severe'. |Date:October 30, 2023 10:38 IST",0,https://www.indiatvnews.com/delhi/air-quality-very-poor-category-aqi-at-322-ncr-noida-gurugram-pollution-smog-safar-india-latest-weather-updates-2023-10-30-900270,https://resize.indiatvnews.com/en/resize/newbucket/210_-/2023/10/aqi-1698634720.jpg
hCAzLkEZ,"Cyclone Hamoon makes landfall in Bangladesh coast area, Tej weakens into Cyclonic Storm in Yemen","The Severe Cyclonic Storm 'Hamoon' over Northeast Bay of Bengal lay centered at 2330 hours IST on Tuesday night about 420 km east-southeast of Digha (West Bengal), 150 km east-southeast of Khepupara (Bangladesh) and 80 km south-southwest of Chittagong (Bangladesh), said IMD. |Date:India | October 25, 2023 9:54 IST",0,https://www.indiatvnews.com/news/india/cyclone-hamoon-makes-landfall-in-bangladesh-coast-area-tej-weakens-into-cyclonic-storm-in-yemen-latest-update-rains-in-odisha-west-bengal-2023-10-25-899484,https://resize.indiatvnews.com/en/resize/newbucket/210_-/2023/10/storm-1698198872.jpg
ESQO0FaZ,"Delhi pollution: AQI in 'poor' category, minimum temperature drops to 15 degrees Celsius","In a surprise change of weather, Delhi-NCR witnessed dense fog giving an experience of the arrival of winter. The temperature dropped to 15 degrees Celsius in the region. |Date:October 22, 2023 13:33 IST",0,https://www.indiatvnews.com/delhi/delhi-pollution-aqi-in-poor-category-minimum-temperature-drops-to-15-degrees-celsius-latest-update-2023-10-22-899063,https://resize.indiatvnews.com/en/resize/newbucket/210_-/2023/10/air-pollution-1697961152.jpg
eZrBYW4Q,"Delhi weather: Minimum temperature settles at 17.3째C, AQI back in 'moderate' category","An AQI between 0-50 is considered 'good', 51-100 'satisfactory', 101-200 'moderate', 201-300 'poor', 301-400 'very poor' and 401-500 'severe'. |Date:October 18, 2023 12:38 IST",0,https://www.indiatvnews.com/delhi/delhi-ncr-weather-minimum-temperature-at-17-3-degrees-celsius-aqi-moderate-light-rain-noida-gurugram-latest-updates-2023-10-18-898417,https://resize.indiatvnews.com/en/resize/newbucket/210_-/2023/10/aqi-1697611220.jpg
IXIfdvAN,"Rain lashes parts of national capital, windy conditions bring mercury down in Delhi-NCR","New Delhi: The weather department has forecast a generally cloudy sky for Tuesday with the possibility of light rain or thundershowers. |Date:October 17, 2023 8:38 IST",0,https://www.indiatvnews.com/delhi/rain-lashes-parts-of-national-capital-windy-conditions-bring-mercury-down-in-delhi-ncr-latest-updates-2023-10-17-898204,https://resize.indiatvnews.com/en/resize/newbucket/210_-/2023/10/rain-1697510388.jpg
rD3ORAny,"Shelf cloud covers Brazilian town, mesmerizing moment in timelapse video leaves people stunned","The timelapse video of a shelf cloud which was recorded on Saturday covering a Brazilian town has gone viral leaving people stunned. |Date:September 25, 2023 18:29 IST",0,https://www.indiatvnews.com/trending/offbeat/shelf-cloud-covers-brazilian-town-mesmerizing-moment-in-timelapse-video-leaves-people-stunned-latest-updates-2023-09-25-894636,https://resize.indiatvnews.com/en/resize/newbucket/210_-/2023/09/shelf-cloud-1695646705.jpg
ZdR3wLlK,"Maharashtra weather: NDRF, Army teams pressed in to rescue stranded people in Nagpur | VIDEO","Maharashtra weather: Nagpur city received torrential downpours from Friday midnight. According to the weather department, Nagpur airport reported 106 mm of rainfall till 5:30 am. |Date:September 23, 2023 13:14 IST",0,https://www.indiatvnews.com/maharashtra/maharashtra-weather-nagpur-rains-ndrf-army-teams-rescue-operation-stranded-people-severe-waterlogging-video-latest-updates-traffic-jam-photos-2023-09-23-894276,https://resize.indiatvnews.com/en/resize/newbucket/210_-/2023/09/nagpur-1695451017.jpg
